# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12432
#@/user_id	6099a6d5-586b-43cf-a201-a9684551a2a9
a 	啊	c=204 d=5.82978 t=12432
hen duo 	很多	c=4 d=0.965605 t=12432
hen fan 	很煩	c=1 d=1 t=2644
hen hao 	很好	c=2 d=1.97531 t=9147
hen ji 	痕跡	c=1 d=1 t=6012
hen jian dan 	很簡單	c=2 d=1.21119 t=2504
hen kuai 	很快	c=1 d=1 t=5629
hen lao 	很老	c=1 d=1 t=7997
hen lei 	很累	c=1 d=1 t=10351
hen mei 	很沒	c=1 d=1 t=11222
hen ming xian 	很明顯	c=6 d=0.252431 t=12432
hen nan shou 	很難受	c=2 d=1.95123 t=2681
hen neng 	很能	c=1 d=1 t=11843
hen qi guai 	很奇怪	c=1 d=1 t=3569
hen qing chu 	很清楚	c=1 d=1 t=9827
hen rong yi 	很容易	c=1 d=1 t=11591
hen shao 	很少	c=1 d=1 t=10524
hen sheng qi 	很生氣	c=1 d=1 t=9879
hen xi huan 	很喜歡	c=2 d=0.0100761 t=12432
hen xiang 	很想	c=1 d=1 t=6075
hen xiang shou 	很享受	c=1 d=1 t=11323
hen you 	很有	c=5 d=0.763379 t=12432
heng 	橫	c=1 d=1 t=11187
hong bi 	紅筆	c=1 d=1 t=4464
hong meng 	鴻蒙	c=2 d=1.56836 t=9347
hou 	後	c=7 d=0.308819 t=12432
hou ji you ren 	後繼有人	c=1 d=1 t=8765
hou lai 	後來	c=1 d=1 t=9973
hou mian 	後面	c=7 d=0.575462 t=12432
hou qi 	後期	c=1 d=0.0141223 t=12432
hou tai 	後臺	c=6 d=0.502683 t=12432
hou tian 	後天	c=1 d=1 t=10591
hou yi zheng 	後遺症	c=1 d=1 t=2584
hou zhi 	後置	c=1 d=1 t=2836
hu 	乎	c=1 d=1 t=5134
hu 	呼	c=1 d=1 t=2308
hu 	胡	c=8 d=5.68116 t=11875
hu chang 	弧長	c=1 d=1 t=8006
hua 	化	c=1 d=1 t=3493
hua 	畫	c=1 d=1 t=7100
hua 	話	c=8 d=0.1764 t=12432
hua ban 	滑板	c=5 d=3.18951 t=9452
hua fei 	話費	c=1 d=1 t=11018
hua mian 	畫面	c=1 d=1 t=1867
hua qian 	花錢	c=1 d=1 t=2748
hua shuo 	話說	c=10 d=1.0191 t=6235
hua ti 	話題	c=1 d=1 t=2148
hua wei 	華爲	c=1 d=0.431711 t=12432
hua xue 	化學	c=1 d=1 t=4940
hua yuan 	花園	c=1 d=1 t=3164
huai 	壞	c=4 d=2.54855 t=3060
huai chu 	壞處	c=1 d=1 t=7850
huan 	換	c=10 d=0.151072 t=12432
huan ge 	換個	c=1 d=1 t=3139
huan jing 	環境	c=6 d=0.615697 t=12432
huan ju 	換句	c=2 d=1.36972 t=1534
huan le 	換了	c=1 d=1 t=3782
huan qian 	還錢	c=2 d=1.90937 t=7453
huan zhai 	還債	c=1 d=1 t=7044
huang dou 	黃豆	c=2 d=1.02237 t=8335
huang shi 	皇室	c=2 d=0.440432 t=12432
hui 	回	c=2 d=0.0675424 t=12432
hui 	會	c=41 d=1.65799 t=12432
hui 	輝	c=1 d=1 t=4831
hui bu hui 	會不會	c=1 d=0.25284 t=12432
hui da 	回答	c=3 d=1 t=7890
hui dang 	迴盪	c=1 d=1 t=2341
hui de 	會的	c=1 d=1 t=11771
hui dui 	會對	c=1 d=1 t=2844
hui fang 	回放	c=1 d=1 t=11764
hui fu 	回覆	c=2 d=1.94176 t=3755
hui gai 	悔改	c=1 d=1 t=10430
hui gei 	會給	c=1 d=1 t=8683
hui hao 	會好	c=1 d=1 t=2182
hui lai 	回來	c=2 d=1 t=12350
hui le 	會了	c=1 d=1 t=2229
hui wo 	回我	c=1 d=1 t=10600
hui yong 	會用	c=1 d=0.377192 t=12432
hui you 	會有	c=1 d=1 t=3669
hui yuan 	會員	c=1 d=0.565525 t=12432
hui zai 	會在	c=2 d=1.96079 t=9495
hun yin 	婚姻	c=3 d=1.00005 t=10685
huo 	活	c=3 d=1.90937 t=6375
huo 	火	c=1 d=0.0871609 t=12432
huo chai 	火柴	c=0 d=0.1 t=5484
huo chai ren 	火柴人	c=1 d=1 t=5485
huo de 	活得	c=1 d=1 t=5249
huo de 	獲得	c=2 d=1.00006 t=6619
huo dong 	活動	c=3 d=1.00108 t=3298
huo hu 	火狐	c=1 d=1 t=4759
huo le 	活了	c=1 d=1 t=9666
huo qu 	獲取	c=1 d=1 t=7612
huo zhe 	或者	c=6 d=0.913931 t=12432
ji 	機	c=2 d=0.0187308 t=12432
ji 	集	c=4 d=1.95886 t=4413
ji ben shang 	基本上	c=3 d=1.00001 t=6390
ji bu 	幾部	c=1 d=1 t=4003
ji chang 	機場	c=11 d=0.904837 t=12432
ji da 	即達	c=1 d=1 t=5313
ji dai 	幾代	c=1 d=1 t=7980
ji de 	記得	c=0 d=0.0715338 t=12432
ji dian 	幾點	c=1 d=1 t=4287
ji dian dao 	幾點到	c=1 d=1 t=2002
ji ge 	幾個	c=2 d=0.105354 t=9693
ji ge ma 	幾個媽	c=1 d=1 t=9694
ji ge zi 	幾個字	c=1 d=1 t=3809
ji hu 	幾乎	c=2 d=1.00163 t=11821
ji hua 	計劃	c=1 d=1 t=7194
ji ji xiang shang 	積極向上	c=1 d=1 t=5488
ji ke 	極客	c=1 d=1 t=4987
ji lie 	激烈	c=2 d=1.34301 t=1859
ji liu 	激流	c=1 d=1 t=1258
ji lu 	記錄	c=1 d=0.318224 t=12432
ji mo 	寂寞	c=1 d=1 t=9259
ji nian 	幾年	c=1 d=1 t=10496
ji ran 	既然	c=1 d=1 t=9735
ji shen 	機身	c=1 d=1 t=7932
ji shi 	即使	c=2 d=1 t=11734
ji shi 	幾十	c=1 d=1 t=8994
ji suan 	計算	c=1 d=1 t=7881
ji sui 	幾歲	c=1 d=1 t=9422
ji sui 	脊髓	c=1 d=1 t=5792
ji ti 	集體	c=1 d=1 t=2737
ji tian 	幾天	c=1 d=0.235746 t=12432
ji wei 	即爲	c=2 d=1.99005 t=3622
ji xiang 	機箱	c=3 d=1.75252 t=3082
ji xu 	繼續	c=1 d=1 t=11398
ji yin 	基因	c=1 d=1 t=10160
ji yu 	基於	c=1 d=0.351692 t=12432
ji zai 	記載	c=1 d=1 t=11822
ji zhi 	機制	c=1 d=1 t=3876
ji zhu 	記住	c=0 d=0.00301974 t=12432
ji zhu ta 	記住他	c=1 d=0.0303487 t=12432
jia 	佳	c=2 d=1.53526 t=8988
jia 	假	c=1 d=1 t=1813
jia 	價	c=1 d=1 t=2788
jia 	加	c=7 d=0.211033 t=12432
jia 	夾	c=2 d=1.18544 t=9530
jia 	家	c=1 d=1 t=5411
jia bei 	加倍	c=1 d=1 t=9335
jia de 	假的	c=1 d=1 t=1972
jia ge 	價格	c=3 d=2.16348 t=7965
jia huo 	傢伙	c=2 d=1.00009 t=6915
jia jie 	嫁接	c=1 d=1 t=10289
jia li 	家裏	c=1 d=0.13936 t=9094
jia ni 	加你	c=2 d=1.99005 t=11024
jia ni lai 	加你來	c=1 d=1 t=5717
jia ru 	加入	c=2 d=1.00409 t=4974
jia shang 	加上	c=2 d=1 t=11907
jia su 	加速	c=1 d=1 t=12185
jia su qi 	加速器	c=1 d=1 t=5648
jia xing 	嘉興	c=0 d=0.1 t=4181
jia you 	加油	c=17 d=1.46828 t=12432
jia zhe ge 	加這個	c=1 d=1 t=4538
jian 	見	c=1 d=1 t=4457
jian ce 	檢測	c=1 d=1 t=3084
jian dan 	簡單	c=4 d=1.34646 t=11602
jian ge 	間隔	c=1 d=1 t=7892
jian guo 	堅果	c=14 d=2.00611 t=8116
jian guo 	見過	c=1 d=1 t=1626
jian ji 	剪輯	c=1 d=0.024972 t=12432
jian jian 	見見	c=1 d=1 t=6653
jian jie 	簡潔	c=2 d=1.00024 t=8345
jian kang 	健康	c=1 d=0.0889216 t=12432
jian kong 	監控	c=1 d=1 t=7846
jian li 	建立	c=2 d=1.00006 t=11674
jian li zai 	建立在	c=1 d=1 t=2429
jian mo 	建模	c=1 d=1 t=2030
jian nan 	艱難	c=1 d=1 t=11010
jian pan 	鍵盤	c=2 d=1.01441 t=4620
jian rong 	兼容	c=2 d=1.57407 t=9349
jian ti zi 	簡體字	c=1 d=1 t=1996
jian yi 	建議	c=5 d=0.612626 t=12432
jian yi 	簡易	c=1 d=1 t=3208
jian zhi 	簡直	c=1 d=1 t=2588
jiang 	將	c=1 d=1 t=2204
jiang 	講	c=4 d=1 t=12313
jiang de 	講的	c=1 d=1 t=7142
jiang di 	降低	c=1 d=1 t=9603
jiang jiu 	將就	c=1 d=1 t=2283
jiang sha de 	講啥的	c=1 d=1 t=3433
jiang shi 	殭屍	c=4 d=0.560262 t=12432
jiao 	交	c=5 d=1.00006 t=10592
jiao 	叫	c=9 d=1.12153 t=11078
jiao 	教	c=3 d=0.752014 t=12432
jiao 	角	c=2 d=1 t=10982
jiao cheng 	教程	c=4 d=1.00205 t=10966
jiao fei 	繳費	c=2 d=1.97531 t=11889
jiao gei 	交給	c=1 d=1 t=2206
jiao liu 	交流	c=5 d=2.90843 t=11700
jiao sha 	叫啥	c=1 d=1 t=3394
jiao shui 	澆水	c=1 d=1 t=2793
jiao yi 	交易	c=2 d=1 t=7798
jiao yi suo 	交易所	c=1 d=1 t=7797
jiao yu 	教育	c=4 d=1.00141 t=6979
jie 	接	c=1 d=1 t=3005
jie 	解	c=2 d=0.0426384 t=12432
jie chu 	接觸	c=1 d=1 t=5063
jie da 	解答	c=4 d=1.80076 t=1634
jie dian 	節點	c=7 d=1 t=10918
jie guo 	結果	c=1 d=1 t=8074
jie he 	結合	c=1 d=1 t=4419
jie ji 	階級	c=2 d=1.98511 t=12164
jie ju 	結局	c=1 d=1 t=7108
jie jue 	解決	c=6 d=1.58314 t=11703
jie mian 	界面	c=1 d=1.09656 t=4171
jie mu 	節目	c=7 d=2.72775 t=1689
jie ping 	截屏	c=4 d=0.740818 t=12432
jie pou 	解剖	c=1 d=1 t=1819
jie ri 	節日	c=1 d=1 t=9292
jie se 	戒色	c=0 d=0.1 t=5752
jie se ba 	戒色吧	c=1 d=1 t=5753
jie shao 	介紹	c=3 d=2.41753 t=1518
jie shi 	解釋	c=1 d=1 t=9233
jie shou 	接受	c=5 d=0.213178 t=10242
jie shou hou 	接受後	c=1 d=1 t=10243
jie shu 	結束	c=0 d=0.1 t=12026
jie shu le 	結束了	c=1 d=1 t=12027
jie tou 	街頭	c=1 d=1 t=9158
jie tu 	截圖	c=2 d=0.790571 t=12432
jie tu xia 	截圖下	c=1 d=1 t=12229
jie xiao 	揭曉	c=1 d=1 t=7871
jie yu 	介於	c=1 d=1 t=11553
jie zhu 	藉助	c=1 d=1 t=7024
jie zou 	節奏	c=2 d=1.90032 t=12019
jin 	盡	c=1 d=0.225373 t=12432
jin 	進	c=4 d=1.96897 t=5894
jin 	金	c=1 d=1 t=4943
jin bu 	進步	c=3 d=1.09278 t=8311
jin bu de 	進步的	c=1 d=1 t=8297
jin cun 	僅存	c=1 d=1 t=9975
jin dai 	近代	c=1 d=1 t=10471
jin guan 	儘管	c=1 d=1 t=4320
jin hua 	進化	c=2 d=1.91393 t=10747
jin li 	盡力	c=1 d=1 t=7641
jin liang 	儘量	c=0 d=0.00415857 t=12432
jin ping 	僅憑	c=1 d=1 t=11420
jin qu 	進去	c=4 d=1 t=9070
jin qu le 	進去了	c=1 d=1 t=2825
jin qun 	進羣	c=1 d=1 t=6164
jin rong 	金融	c=1 d=1 t=7657
jin ru 	進入	c=2 d=1.00002 t=5287
jin shen 	謹慎	c=1 d=0.218712 t=12432
jin tian 	今天	c=3 d=1 t=9648
jin wan 	今晚	c=1 d=1 t=6812
jin zhi 	禁止	c=5 d=1 t=10511
jing dong 	京東	c=4 d=0.481909 t=12432
jing hua 	精華	c=1 d=1 t=11576
jing ji 	經濟	c=2 d=1.97045 t=10652
jing li 	經歷	c=3 d=1 t=9967
jing li me 	經歷麼	c=1 d=1 t=1897
jing ri 	精日	c=1 d=0.432871 t=8439
jing shen 	精神	c=1 d=0.0340475 t=12432
jing shi 	竟是	c=2 d=1 t=12132
jing shou 	經受	c=1 d=1 t=8704
jing sui 	精髓	c=1 d=1 t=4314
jing ti 	警惕	c=2 d=1.37158 t=11317
jing tou 	鏡頭	c=1 d=1 t=7902
jing xiang 	鏡像	c=2 d=1.97531 t=2846
jing zai 	竟在	c=2 d=1 t=12263
jiu 	久	c=1 d=0.0152985 t=12432
jiu 	九	c=1 d=1 t=8996
jiu 	就	c=253 d=3.97757 t=12432
jiu 	舊	c=1 d=1 t=3843
jiu bu hui 	就不會	c=1 d=0.279431 t=12432
jiu cheng 	就成	c=1 d=0.0221482 t=12432
jiu he 	就和	c=0 d=0.0414783 t=12432
jiu jing 	究竟	c=3 d=1 t=8733
jiu shi 	就是	c=5 d=1.25436 t=12432
jiu xiang 	就像	c=1 d=0.12493 t=12432
jiu zheng 	糾正	c=1 d=1 t=3941
ju 	句	c=1 d=1 t=11599
ju jue 	拒絕	c=4 d=0.339596 t=12432
ju li 	舉例	c=0 d=0.1 t=5641
ju li zi 	舉例子	c=1 d=1 t=5642
ju qing 	劇情	c=1 d=1 t=7865
ju ran 	居然	c=0 d=0.1 t=1265
ju ti 	具體	c=3 d=1.00563 t=12202
ju tou 	劇透	c=1 d=1 t=4423
ju you 	具有	c=1 d=1 t=7662
ju zao 	巨早	c=1 d=1 t=5439
juan zi 	卷子	c=3 d=1.01478 t=9568
juan zi me 	卷子麼	c=1 d=1 t=8193
jue 	堀	c=1 d=1 t=3572
jue 	覺	c=2 d=1 t=10377
jue da 	絕大	c=0 d=0.1 t=6683
jue da duo 	絕大多	c=1 d=1 t=6684
jue de 	覺得	c=5 d=0.109701 t=12432
jue dui 	絕對	c=2 d=1.00535 t=9995
jue jing 	絕境	c=2 d=1.94649 t=7175
jun 	君	c=4 d=1.02649 t=6842
ka 	卡	c=3 d=2.94587 t=10198
ka 	喀	c=1 d=1 t=9392
ka de 	卡的	c=0 d=0.1 t=5867
ka fei 	咖啡	c=1 d=1 t=10089
ka kou 	卡扣	c=1 d=1 t=2815
ka le 	卡勒	c=1 d=1 t=4411
ka si 	卡死	c=1 d=1 t=2661
kai 	凱	c=1 d=1 t=8834
kai 	開	c=9 d=1.00354 t=11621
kai bu liao 	開不了	c=1 d=1 t=4054
kai fa 	開發	c=3 d=1.07808 t=11739
kai fang 	開放	c=2 d=1.98511 t=3303
kai ge 	開個	c=2 d=0.136695 t=12432
kai kong 	開孔	c=1 d=1 t=6968
kai le 	開了	c=2 d=1 t=12221
kai le ma 	開了嗎	c=1 d=1 t=10755
kai qi 	開啓	c=1 d=1 t=4043
kai shi 	開始	c=3 d=1.00004 t=9475
kai tian 	開天	c=1 d=1 t=7101
kai wan xiao 	開玩笑	c=2 d=1 t=9815
kai xin 	開心	c=1 d=1 t=12099
kai ya 	開呀	c=1 d=1 t=10051
kai yuan 	開源	c=5 d=0.733923 t=12432
kai zhe 	開着	c=1 d=1 t=6159
kan 	看	c=42 d=1.97026 t=12432
kan ba 	看吧	c=1 d=1 t=3409
kan bu dong 	看不懂	c=1 d=1 t=8417
kan bu qing 	看不清	c=1 d=1 t=11200
kan chu 	看出	c=1 d=1 t=10867
kan dao 	看到	c=2 d=1.00004 t=4397
kan de 	看得	c=2 d=0.13332 t=12432
kan de shi 	看得是	c=1 d=0.585669 t=12432
kan fan 	看番	c=1 d=0.634448 t=12432
kan ge 	看個	c=1 d=1 t=7873
kan guo 	看過	c=2 d=1 t=11966
kan jian 	看見	c=2 d=1 t=11286
kan kan 	看看	c=9 d=1.00014 t=12208
kan le 	看了	c=4 d=1.34994 t=11847
kan le kan 	看了看	c=1 d=1 t=11801
kan le yi bian 	看了一邊	c=1 d=1 t=6943
kan ma 	看嘛	c=1 d=1 t=11099
kan qi lai 	看起來	c=1 d=1 t=9859
kan qing 	看清	c=1 d=1 t=3680
kan shu 	看書	c=1 d=1 t=12345
kan si 	砍死	c=2 d=1.46767 t=7250
kan wan 	看完	c=3 d=1 t=8434
kan xia 	看下	c=2 d=1 t=10774
kan yan 	看眼	c=1 d=0.927743 t=12432
kan yi kan 	看一看	c=1 d=1 t=2281
kan zhe 	看着	c=2 d=0.0239928 t=12432
kang kang 	康康	c=2 d=0.798516 t=12432
kao 	靠	c=1 d=1 t=11544
kao lv 	考慮	c=5 d=1 t=12114
kao shi 	考試	c=2 d=1 t=11328
kao yan 	考驗	c=1 d=1 t=8706
ke 	可	c=2 d=0.0444858 t=12432
ke 	科	c=1 d=1 t=11345
ke 	課	c=1 d=1 t=4774
ke bei 	可悲	c=1 d=0.904837 t=12432
ke bi 	可比	c=0 d=0.1 t=1819
ke bi zhe 	可比這	c=2 d=1.87372 t=1847
ke bu shi 	可不是	c=1 d=1 t=8251
ke fu 	客服	c=1 d=1 t=2828
ke hai xing 	可還行	c=7 d=0.472905 t=12432
ke ji 	科技	c=2 d=1 t=7429
ke ke 	苛刻	c=1 d=1 t=9015
ke neng 	可能	c=6 d=0.748264 t=12432
ke neng zhen 	可能真	c=1 d=1 t=1811
ke pu 	科普	c=5 d=1.81465 t=10303
ke xi 	可惜	c=1 d=1 t=8758
ke xin 	可信	c=1 d=1 t=3071
ke yan 	科研	c=1 d=0.0788664 t=12432
ke yi 	可以	c=23 d=0.420469 t=12432
ke yi a 	可以啊	c=2 d=0.33454 t=12432
ke yi le 	可以了	c=1 d=1 t=5534
ke yi ma 	可以嗎	c=1 d=1 t=5693
ke yong 	可用	c=1 d=0.167797 t=12432
ken 	啃	c=2 d=1.50409 t=9137
ken 	肯	c=9 d=1 t=11534
ken ding 	肯定	c=1 d=1 t=12273
kong bai 	空白	c=1 d=1 t=4088
kong bu 	恐怖	c=1 d=1 t=1848
kong bu pian 	恐怖片	c=1 d=1 t=4581
kong ju 	恐懼	c=2 d=1 t=9947
kong li 	控力	c=1 d=1.06079 t=5269
kong zhi 	控制	c=2 d=0.1 t=9752
kong zhi quan 	控制權	c=1 d=1 t=6884
kou 	釦	c=2 d=1.0053 t=2816
kou ju 	釦具	c=1 d=1 t=3241
ku 	哭	c=1 d=1 t=3128
ku 	庫	c=2 d=1 t=11209
ku 	酷	c=6 d=0.624826 t=12432
ku an 	酷安	c=1 d=1 t=4744
ku cha 	褲衩	c=2 d=1.98511 t=5153
ku mei 	哭沒	c=1 d=1 t=3127
kua guo 	跨國	c=1 d=1 t=1602
kua wo 	誇我	c=1 d=1 t=4442
kuai 	塊	c=1 d=1 t=9201
kuai 	快	c=10 d=0.275679 t=12432
kuai di 	快遞	c=3 d=0.0176857 t=12432
kuai dian 	快點	c=1 d=1 t=2577
kuai gan 	快感	c=2 d=1.89137 t=9601
kuai yi dian 	快一點	c=1 d=1 t=2532
kuang jia 	框架	c=2 d=0.161218 t=12432
kuang nan 	礦難	c=0 d=0.1 t=9284
kuang nan le 	礦難了	c=1 d=1 t=9285
kuang ren 	狂人	c=1 d=1 t=8537
kuo hao 	括號	c=1 d=1 t=3593
la 	啦	c=1 d=1 t=1917
la 	拉	c=1 d=1 t=5695
la ji 	垃圾	c=8 d=1.32792 t=12017
la ji ren 	垃圾人	c=1 d=1 t=10116
la la 	啦啦	c=2 d=1.75621 t=12432
la ren 	拉人	c=0 d=0.1 t=5904
la ren me 	拉人麼	c=1 d=1 t=5905
la zhe 	拉着	c=0 d=0.1 t=4770
la zhe wo 	拉着我	c=1 d=1 t=4771
lai 	來	c=5 d=1.03561 t=11425
lai de 	來的	c=3 d=0.227638 t=12432
lai ge 	來個	c=1 d=1 t=9333
lai guo 	來過	c=0 d=0.0064894 t=12432
lai jiang 	來講	c=1 d=1 t=3609
lai kan 	來看	c=1 d=1 t=9978
lai le 	來了	c=1 d=1 t=5575
lai shuo 	來說	c=3 d=0.360595 t=12432
lai yi ge 	來一個	c=1 d=1 t=5679
lai zhe 	來着	c=5 d=1.9326 t=8033
lai zi 	來自	c=2 d=1.08208 t=7452
lan 	懶	c=4 d=0.786628 t=12432
lan 	爛	c=5 d=1.00024 t=8759
lan 	藍	c=2 d=0.198533 t=12432
lan de 	懶得	c=2 d=0.12785 t=12432
lan de gao 	懶得搞	c=2 d=1.81058 t=5970
lan ren 	懶人	c=1 d=0.744532 t=12432
lao 	老	c=6 d=1 t=11117
lao di fang 	老地方	c=1 d=0.522046 t=12432
lao dong 	勞動	c=1 d=1 t=8839
lao dong 	老動	c=1 d=1 t=2796
lao ge 	老哥	c=10 d=1.06112 t=11625
lao han 	老韓	c=1 d=1 t=8681
lao luo 	老羅	c=3 d=1.96079 t=9958
lao se pi 	老色批	c=1 d=1 t=8908
lao shi 	老師	c=12 d=1.28081 t=12432
lao shi shuo 	老實說	c=1 d=1 t=9994
lao zhong 	老中	c=1 d=1 t=11545
le 	了	c=154 d=3.35251 t=12432
le 	樂	c=1 d=1 t=6192
le a 	了啊	c=1 d=0.472367 t=12432
le ba 	了巴	c=1 d=1 t=7744
le de 	了的	c=1 d=0.121846 t=12432
le ge 	了個	c=1 d=0.100002 t=5112
le ge sha ya 	了個啥呀	c=1 d=1 t=5113
le ma 	了嗎	c=20 d=1.10546 t=12432
le na 	了那	c=2 d=1.00705 t=10230
le ne 	了呢	c=1 d=1 t=11885
lei 	累	c=1 d=1 t=3040
lei 	類	c=1 d=1 t=11430
lei si 	類似	c=1 d=1 t=1787
lei xing 	類型	c=4 d=3.9077 t=8965
leng men 	冷門	c=1 d=1 t=3331
leng xiao 	冷笑	c=1 d=1 t=2701
li 	利	c=1 d=1 t=6362
li 	力	c=2 d=1 t=8017
li 	李	c=3 d=1.94202 t=12420
li 	裏	c=7 d=1.06393 t=11068
li hai 	厲害	c=0 d=0.1 t=1250
li hong zhang 	李鴻章	c=1 d=1 t=6451
li hun 	離婚	c=1 d=1 t=8099
li jie 	理解	c=7 d=1.27649 t=11609
li kai 	離開	c=1 d=1 t=1553
li le 	離了	c=0 d=0.1 t=7025
li liang 	力量	c=2 d=1.22993 t=11670
li lun 	理論	c=2 d=0.357007 t=12432
li mao 	禮貌	c=0 d=0.0131336 t=12432
li mian 	裏面	c=7 d=1.00217 t=12293
li nian 	理念	c=1 d=1 t=1423
li pu 	離譜	c=6 d=2.07373 t=5570
li pu le 	離譜了	c=1 d=1 t=5571
li shi 	歷史	c=6 d=0.17073 t=12432
li suo 	理所	c=1 d=1 t=1495
li xiang 	理想	c=1 d=1 t=6772
li xing 	理性	c=1 d=1 t=11694
li yong 	利用	c=3 d=2.22541 t=10426
li you 	理由	c=2 d=1.00006 t=10343
li zhi 	立志	c=1 d=1 t=7237
li zi 	例子	c=1 d=1 t=3650
lia 	倆	c=2 d=1.95123 t=8668
lian 	戀	c=5 d=2.58556 t=10662
lian 	臉	c=0 d=0.00987662 t=12432
lian 	連	c=6 d=0.0309618 t=12432
lian ai 	戀愛	c=3 d=2.06565 t=3950
lian dong 	聯動	c=1 d=1 t=3457
lian dou shi 	臉鬥士	c=1 d=0.0992613 t=12432
lian jie 	鏈接	c=7 d=0.778801 t=12432
lian se 	臉色	c=1 d=0.628135 t=12432
lian shou 	練手	c=1 d=1 t=3057
lian wo 	連我	c=1 d=1 t=2611
lian xi 	聯繫	c=0 d=0.1 t=7552
lian xi ren 	聯繫人	c=2 d=1.99501 t=3353
lian xiang 	聯想	c=1 d=1 t=2034
lian yi kuai 	連一塊	c=1 d=1 t=3100
liang 	兩	c=2 d=1 t=12222
liang 	良	c=1 d=0.0209629 t=12432
liang ci 	兩次	c=1 d=1 t=1717
liang dian 	兩點	c=1 d=1 t=10082
liang ge 	兩個	c=4 d=1.00001 t=10817
liang ge ren 	兩個人	c=1 d=1 t=5796
liang mian bao 	良麪包	c=1 d=1 t=9192
liang qian duo 	兩千多	c=1 d=1 t=4354
liang ren 	兩人	c=1 d=1 t=6882
liang tian 	兩天	c=4 d=0.094719 t=12432
liang wu 	涼屋	c=2 d=1 t=8003
liao ji 	僚機	c=1 d=1 t=3513
liao jie 	瞭解	c=14 d=0.881388 t=12432
liao liao 	聊聊	c=2 d=1.97045 t=7589
liao tian 	聊天	c=10 d=0.316637 t=12432
lie biao 	列表	c=1 d=0.0845849 t=12432
lin 	林	c=3 d=0.350417 t=12432
lin 	淋	c=1 d=1 t=8833
ling 	另	c=1 d=1 t=2992
ling 	靈	c=1 d=1 t=10438
ling long 	靈龍	c=4 d=2.47438 t=7301
ling san 	零散	c=1 d=1 t=11981
ling sheng 	鈴聲	c=1 d=1 t=8881
ling wai 	另外	c=1 d=1 t=3906
ling yi ge 	另一個	c=2 d=1.37908 t=7384
ling yi tai 	另一臺	c=1 d=1 t=9507
ling yi zhong 	另一種	c=1 d=1 t=8906
liu lan 	瀏覽	c=1 d=1 t=12070
liu lan qi 	瀏覽器	c=1 d=1 t=8724
liu lian 	榴槤	c=1 d=1 t=10096
liu liang 	流量	c=2 d=1 t=8027
liu mang 	流氓	c=1 d=1 t=6464
liu xia 	留下	c=1 d=1 t=6011
liu xing 	流行	c=1 d=1 t=6351
liu zai 	留在	c=1 d=1 t=7637
lou zhu 	樓主	c=1 d=1 t=3179
lu 	錄	c=2 d=1.00057 t=7724
lu ge 	錄個	c=1 d=1 t=6204
lu shang 	路上	c=1 d=1 t=2964
lu xun 	魯迅	c=2 d=1 t=11547
lu yin 	錄音	c=1 d=0.0916297 t=12432
lu you 	路由	c=2 d=1 t=5944
lu zhi 	滷汁	c=1 d=1 t=4486
lu zhi 	錄製	c=2 d=1.00148 t=4487
luan le 	亂了	c=1 d=1 t=2125
luan ma 	亂碼	c=1 d=1 t=2502
lun tan 	論壇	c=3 d=1 t=11043
lun wang 	淪亡	c=1 d=1 t=10644
lun wen 	論文	c=1 d=1 t=2302
luo 	羅	c=12 d=0.847894 t=12432
luo ben 	裸奔	c=2 d=1.17291 t=1685
luo ji 	邏輯	c=2 d=1.00075 t=11708
luo li 	蘿莉	c=32 d=10.0723 t=12373
luo ti 	裸體	c=7 d=1.75134 t=1992
luo ti de 	裸體的	c=1 d=1 t=1519
luo xiao hei 	羅小黑	c=1 d=0.460704 t=12432
luo yong 	羅永	c=1 d=1 t=3230
luo yong hao 	羅永浩	c=2 d=1.00303 t=8217
lv 	率	c=2 d=1 t=7715
lv ba 	綠壩	c=1 d=1 t=8080
ma 	嘛	c=12 d=1.00267 t=12384
ma 	媽	c=1 d=1.00009 t=11104
ma 	馬	c=1 d=0.0632918 t=12432
ma bi 	麻痹	c=6 d=1.19907 t=10569
ma fan 	麻煩	c=12 d=0.806541 t=12432
ma fan de 	麻煩的	c=1 d=1 t=4295
ma fan le 	麻煩了	c=1 d=1 t=4677
ma ge 	罵個	c=1 d=1 t=6458
ma ke si 	馬克思	c=1 d=1 t=12149
ma ma 	媽媽	c=4 d=0.969107 t=12432
ma qi lai 	罵起來	c=1 d=1 t=8544
mai 	買	c=10 d=1.21613 t=12432
mai 	賣	c=2 d=1.08208 t=4825
mai bu qi 	買不起	c=3 d=2.73091 t=4359
mai dang lao 	麥當勞	c=1 d=1 t=12191
mai ge 	買個	c=2 d=1.00113 t=9120
mai gei 	賣給	c=2 d=0.0742736 t=12432
mai guo 	買過	c=1 d=1 t=7956
mai le 	買了	c=2 d=1 t=9882
mai le 	賣了	c=1 d=1 t=4312
mai le ge 	買了個	c=1 d=1 t=2905
mai yi 	買一	c=0 d=0.057695 t=12432
man 	慢	c=0 d=0.1 t=5925
man hua 	漫畫	c=2 d=1 t=9775
man man 	慢慢	c=2 d=1.02352 t=10994
man man lai 	慢慢來	c=1 d=1 t=5677
mao 	毛	c=3 d=1 t=11036
mao ge pao 	冒個泡	c=1 d=1 t=8399
mao qian 	毛錢	c=0 d=0.1 t=1381
